Time_(s)	Delta_F/n_n=3_(Hz)	Delta_F/n_n=5_(Hz)	Delta_F/n_n=7_(Hz)	Delta_F/n_n=9_(Hz)	Delta_F/n_n=11_(Hz)	Delta_F/n_n=13_(Hz)	Delta_D_n=3_()	Delta_D_n=5_()	Delta_D_n=7_()	Delta_D_n=9_()	Delta_D_n=11_()	Delta_D_n=13_()
1099.4489204342995	-0.05487917736172676	-0.077751374989748	-0.22281638320003236	0.26372377657228047	-0.12417011708021164	2.4679183335258412	-2.1437653997845914E-8	-2.3593731085898772E-8	-7.041819581275462E-8	8.89224336078398E-8	1.7927716710049537E-8	8.434653418988358E-7
1100.382757167402	-0.07965363810459773	-0.06121406853199005	-0.15896573875631606	0.35122961385382545	-0.110067603262988	2.7145902583232293	-1.067094561514213E-8	-1.9192420830680757E-8	-8.831312333343105E-8	1.2047698393479063E-8	-3.495612654663607E-8	8.200815727443637E-7
1101.3165688834827	-0.06380242481827736	-0.24664755389094353	-0.21839182078838348	0.3424608235557874	-0.25534887611866	2.3768972158432007	-3.6571082199078706E-8	-4.3020218295786996E-8	-5.5147945999525425E-8	9.253163235769602E-8	-5.857063623249906E-8	5.964131401021993E-7
1102.250372075264	-0.15717293322086334	-0.2632950745522976	-0.24241955365453446	0.20157535125811896	-0.08144399930130351	2.68766796703522	-4.527254241344604E-8	-5.546549142310228E-8	-1.1420771417835584E-7	5.932989096811992E-9	-1.7956445045650793E-8	8.040765535917682E-7
1103.184181900088	-0.11617743161817391	-0.15408296883106232	-0.2634662560054234	0.2754729530877537	-0.266516965221275	2.4603727494294825	-3.717326557898105E-8	-4.3612593382622716E-8	-8.547489236692307E-8	5.6528683411394775E-8	-3.322073418256439E-8	7.208372720077678E-7
1104.118054408614	-0.08430383168160915	-0.18908543661236762	-0.2855409990463938	0.3077281076047156	-0.16534297235987402	2.4954242557287216	-1.226569346429924E-8	-1.8472934241992424E-8	-7.185808557814445E-8	-2.6247687476800498E-8	-1.466240797071101E-7	7.263791230579999E-7
1105.0518643656412	-0.13822374492883682	-0.12797740772366523	-0.2996595576405525	0.3484762931863467	-0.10246886516159232	2.6989868896511884	1.8827247100748623E-9	-3.374950648712526E-8	-8.832566227846524E-8	5.5141671531140244E-8	-1.5581874921127923E-7	7.318383949313369E-7
1105.985683716003	-0.10393635494013627	-0.13931767418980598	-0.2237531223467418	0.23860142628351846	-0.07834830270572142	2.6292258076942883	-4.951973699287649E-8	-2.0197796007047613E-8	-4.0307712883066874E-8	-2.132090470022491E-10	-8.663344583591758E-8	6.871534770342384E-7
1106.9194678493182	-0.1256532364835342	-0.12434307634830474	-0.16279494230236327	0.16615830775764254	-0.20978747511451895	2.578573912382126	-4.603731709309296E-8	-7.104235381612603E-9	-4.633892547501221E-8	9.790018313157712E-9	-1.3482775236279675E-8	7.62813677874892E-7
1107.8532502171422	-0.11265645362436771	-0.2844226837158203	-0.39290950340884073	0.21121898045142493	-0.20891010761260986	2.611604479643015	-2.6014619615091642E-8	-5.4927416848649536E-8	-1.1283628312631422E-7	7.405796752562243E-8	-5.737234384704207E-8	8.051581578140919E-7
