Time_(s)	Delta_F/n_n=1_(Hz)	Delta_D_n=1_()	Delta_F/n_n=3_(Hz)	Delta_D_n=3_()	Delta_F/n_n=5_(Hz)	Delta_D_n=5_()	Delta_F/n_n=7_(Hz)	Delta_D_n=7_()	Delta_F/n_n=9_(Hz)	Delta_D_n=9_()	Delta_F/n_n=11_(Hz)	Delta_D_n=11_()	Delta_F/n_n=13_(Hz)	Delta_D_n=13_()
329.7615750175634	4782.196823287755	5.162611251052936E-6	646.1999007891864	-4.636364849078576E-6	256.05516525804995	-7.293199952901932E-6	147.41436771516288	-6.1334634672538096E-6	103.6829981058836	-4.945068875734286E-6	83.88627726991068	-4.731803183620015E-6	69.24319453250904	-3.7521166307105154E-6
330.69571644186163	4782.731409648433	5.378218144242851E-6	645.8929268053422	-4.411611673802113E-6	256.8915516257286	-6.934111642504078E-6	147.32987233570643	-6.235836991860325E-6	103.12040014978912	-5.689759516374306E-6	83.3210268738595	-4.781958834417362E-6	70.03887917617193	-4.4237313892507395E-6
331.62990354239236	4782.103006389923	5.2814009582352476E-6	646.0282522800068	-4.580961024118642E-6	255.61000811979176	-7.418811476507601E-6	146.97637517430954	-6.061480856073785E-6	102.04173384689622	-5.476453152381152E-6	82.89967272769321	-3.815629711818202E-6	69.1036713111859	-3.4448234713942394E-6
332.56400987672157	4780.778878658079	5.263949362316442E-6	645.4171917376419	-4.753109123053584E-6	255.3816516764462	-7.348152246868742E-6	146.58533540580953	-6.304192728204028E-6	103.81418730484114	-4.674884259415124E-6	81.55585669590668	-4.780565615460886E-6	70.36797545792965	-3.2833753654219614E-6
333.4981696766556	4781.610348716378	5.596583166654037E-6	645.0178460733345	-4.621781159572312E-6	255.13368170112372	-6.730579675741176E-6	146.63659651790346	-6.099216185104727E-6	101.69178826113541	-5.344336126392041E-6	81.61240142109719	-4.6219420421730645E-6	69.38979524374008	-4.553279693051443E-6
334.43221254360043	4780.842211045325	5.316100044536025E-6	644.6053799303869	-4.770389052271922E-6	255.2839787222445	-7.1798754268457405E-6	145.90912391990423	-6.261551611644504E-6	102.53154254373577	-5.35296021821348E-6	80.73802206529813	-4.2873384458925085E-6	65.85376251603549	-4.003787816694512E-6
335.3664092953141	4780.312727876939	5.576973031506472E-6	644.1677847976486	-4.668948045409582E-6	254.35836408212782	-7.002277087266663E-6	146.0225276755435	-6.0576699175388685E-6	101.54077087177171	-5.3081796154740485E-6	81.70769458331846	-4.488149056389263E-6	66.21372621277204	-3.049529530890874E-6
336.30049632059894	4780.36874035839	5.587617362326394E-6	644.1677847976486	-4.668948045409582E-6	254.46104756221175	-6.889081170679656E-6	144.97758931985922	-6.64576581555408E-6	101.61377113809188	-5.430905431032132E-6	79.9171586273746	-4.6357197725223174E-6	67.01892753346608	-4.0985511868051825E-6
352.96814800154556	4780.36874035839	5.587617362326394E-6	640.1986977222065	-4.197479948386915E-6	250.40803063213826	-6.718352895125596E-6	141.0096230677196	-5.995956780714456E-6	98.04080038186576	-5.375610776824457E-6	77.31155523251404	-4.354756974260719E-6	62.669899082527714	-4.1728834660038585E-6
353.90228854345685	4773.648435423151	6.18319109053938E-6	639.8665161840618	-4.327141638448868E-6	249.94963069707154	-6.821405398861407E-6	141.6190490594932	-5.903319417134562E-6	98.23715324948232	-5.294616988561594E-6	77.80639996853742	-4.213537973325117E-6	61.75393885488693	-4.005965587274769E-6
