Time_(s)	Delta_F/n_n=3_(Hz)	Delta_F/n_n=5_(Hz)	Delta_F/n_n=7_(Hz)	Delta_F/n_n=9_(Hz)	Delta_F/n_n=11_(Hz)	Delta_F/n_n=13_(Hz)	Delta_D_n=3_()	Delta_D_n=5_()	Delta_D_n=7_()	Delta_D_n=9_()	Delta_D_n=11_()	Delta_D_n=13_()
1099.0780805259215	-514.5864186814675	-172.404812913388	-79.62352969284568	-40.560959842469956	-23.11553417146206	-14.758587159216404	-1.702346691125932E-5	-5.976511779685889E-6	-2.9727059523288596E-6	-3.1184993348553442E-6	-3.857426951362069E-6	-2.8464822476308323E-6
1100.0119125320184	-514.7056340401372	-172.50218833088874	-79.6158216925604	-40.81641649537616	-23.09770366955887	-14.759485596647629	-1.7052179715357706E-5	-5.876809068492523E-6	-2.9990106282317503E-6	-3.1339906412079527E-6	-3.681985753757383E-6	-2.9836813513145293E-6
1100.9456899651748	-514.7135042989006	-172.36673251017928	-79.49357108558927	-40.72489533573389	-23.07298720831221	-14.8169882778938	-1.7057229855069368E-5	-5.871950833870744E-6	-2.9234123284307566E-6	-3.1097156009518134E-6	-3.866601679558532E-6	-2.9783353351248187E-6
1101.8795179243552	-514.6988077933589	-172.50520794764162	-79.60468997274127	-40.53775495125188	-22.92252368479967	-14.733591573169598	-1.7047759315217434E-5	-5.933580320287063E-6	-2.94561525999583E-6	-3.1659116065414485E-6	-3.851015517479406E-6	-3.0263560798911125E-6
1102.8133220501436	-514.6426517348737	-172.4252820611	-79.60683539403337	-40.8825017147594	-22.96498237821189	-14.629544946436699	-1.7009398017052435E-5	-5.961984742912043E-6	-2.897749362136765E-6	-3.0754277706951345E-6	-3.856294701345817E-6	-3.0369789135687656E-6
1103.7471231347836	-514.6865308259925	-172.48180449903012	-79.42897573539189	-40.639040768974354	-22.99116549640894	-14.659168614790989	-1.70204481801864E-5	-5.893519068920014E-6	-2.9719468694212176E-6	-2.9837288457862772E-6	-3.8107143390687243E-6	-2.9382344525618345E-6
1104.6809798427173	-514.6621929761022	-172.4380171775818	-79.56147297258887	-40.63716833707359	-23.091032047163356	-14.586577123747421	-1.7051560021130892E-5	-5.940097071282071E-6	-2.9921445479325033E-6	-3.070900919291056E-6	-3.926925085125029E-6	-2.8936785143115367E-6
1105.614778609211	-514.6363283998022	-172.40843562483786	-79.41920268109867	-40.73552252269454	-22.80066132003611	-14.741713185723011	-1.7037351161238373E-5	-5.920302427568066E-6	-2.9813927899487776E-6	-3.0804026048250794E-6	-3.772915929841375E-6	-3.06230290464732E-6
1106.5485951017702	-514.6628247511884	-172.38140629902483	-79.60241942320552	-40.8200092241168	-23.112169937653974	-14.885696096489063	-1.706423579159801E-5	-5.983052867539109E-6	-2.938459603927065E-6	-3.0477518975964986E-6	-3.873051329101595E-6	-2.7176389150519086E-6
1107.4824367855156	-514.6699250986179	-172.39491741657258	-79.51580888565097	-40.59503035992384	-22.986504624513064	-14.836664191805399	-1.7032094716900063E-5	-5.9437716704421255E-6	-2.9392404312382665E-6	-3.0357389140410658E-6	-3.910615036922766E-6	-3.01908126646134E-6
1108.4162538091496	-514.625430950895	-172.41693021729589	-79.52732492983341	-40.622552693718006	-22.988629088483073	-14.765254141619572	-1.702842455441792E-5	-5.9696057209469345E-6	-2.974244702965548E-6	-3.081227967858234E-6	-3.929278390261672E-6	-3.0456437604323676E-6
1109.3501130184457	-514.5992244084676	-172.39823500663042	-79.34375194779464	-40.63207132286496	-22.941707903011277	-14.59360820055008	-1.705737575592606E-5	-5.900153328938204E-6	-2.9921698181475416E-6	-3.093793636527135E-6	-3.765087854755008E-6	-2.9888924328883503E-6
1110.2839766506484	-514.6455471155545	-172.40698560401796	-79.38890941653933	-40.681271628373196	-23.203134737231515	-14.769730932437456	-1.7011994720041542E-5	-5.931520390066279E-6	-2.9848542851068584E-6	-2.9773303751304194E-6	-3.8032911697928975E-6	-3.042613418221629E-6
1111.2178407161757	-514.7003293894231	-172.43025775030256	-79.3885057536619	-40.595035253299606	-23.13683608038859	-14.888332477555824	-1.7053559479653796E-5	-5.98495773291953E-6	-2.9038121242173313E-6	-3.0251356838880675E-6	-3.8618626721197835E-6	-2.9309725411427663E-6
1112.151637768557	-514.6401111862311	-172.4024877972901	-79.51485983814511	-40.749371038542854	-23.028838236223567	-14.760641362231512	-1.7032924224942613E-5	-5.97271586899752E-6	-2.9297934635590697E-6	-3.0857650520351256E-6	-3.8301448234623E-6	-2.8393366306116825E-6
1113.0854597850325	-514.6448518733183	-172.42011427357792	-79.41388939959663	-40.61044354405668	-23.09062795002352	-14.676831636291285	-1.7048903483855794E-5	-5.884431541669803E-6	-2.943395372383435E-6	-3.065492133432732E-6	-3.717977834686518E-6	-2.956771876087952E-6
1114.019283658436	-514.5713340782871	-172.32513702139258	-79.46965826622078	-40.7363264668319	-22.81420148705894	-14.883568443357944	-1.704689875789791E-5	-5.9042453173418965E-6	-2.924917294657971E-6	-3.0641757237055348E-6	-3.867095786365963E-6	-3.004843268170746E-6
1114.9530792080666	-514.6150002423674	-172.31812545210124	-79.507088384458	-40.64746829122305	-22.89219604703513	-14.729193452459116	-1.704703640641658E-5	-5.914086806092762E-6	-2.9223171050976024E-6	-2.9928993713097406E-6	-3.8792466831976535E-6	-2.912596528279696E-6
1115.8868806089645	-514.6402586307377	-172.40802797153592	-79.36894863631044	-40.59014040397273	-23.158926751803268	-14.730178554470722	-1.704413076300239E-5	-5.902342070657755E-6	-2.910779016535332E-6	-3.0289249022324104E-6	-3.800193406019794E-6	-3.0322722125375662E-6
1116.8206901346946	-514.6592632861187	-172.32673748806118	-79.49456605421645	-40.70341065277656	-22.980172141031787	-14.541368991136551	-1.7037992524781512E-5	-5.9145032323224965E-6	-2.9965431572504013E-6	-3.0803109573257975E-6	-3.875078455639296E-6	-2.9759172358055966E-6
1117.754579342771	-514.5851463781049	-172.3422046378255	-79.44850601575205	-40.590011490715874	-23.031861538236793	-14.713155201994455	-1.7025460211942984E-5	-5.890403437775821E-6	-2.954096334042332E-6	-3.0583472381559774E-6	-3.9079142068181326E-6	-2.894506707518883E-6
1118.6883841493595	-514.6115300015857	-172.23547782748938	-79.35750833473035	-40.68522170931101	-23.111553055996243	-14.822474042956646	-1.703118567849296E-5	-5.926597496042345E-6	-2.950135240324775E-6	-3.193285897504301E-6	-3.886558993968826E-6	-2.929160194322175E-6
1119.62223020713	-514.6210637645175	-172.24180950149895	-79.51402886850494	-40.5451757957538	-23.179988724941555	-14.579945034705675	-1.705047821616264E-5	-5.88338378430109E-6	-2.9407074910149872E-6	-3.026548468133792E-6	-3.9023097166857875E-6	-3.040844871672458E-6
1120.5560679649566	-514.5667480683575	-172.34411871805787	-79.5472536768232	-40.70975847459502	-22.894513674080372	-14.753073681432467	-1.703857532017782E-5	-5.944806431621536E-6	-2.933553137229888E-6	-3.066056732608236E-6	-3.850775914862416E-6	-3.0352245277674727E-6
1121.4898731737608	-514.5355060460666	-172.3435721129179	-79.44451837135213	-40.62721211132076	-22.888620378618892	-14.676347912504124	-1.7017381957239874E-5	-5.927232228775922E-6	-2.9796959265164735E-6	-3.043739628620873E-6	-3.7919838029399565E-6	-2.9098446511847785E-6
1122.423679781127	-514.5718201361597	-172.3466407224536	-79.28537712991238	-40.71448661883672	-22.843503692610696	-14.613684439315247	-1.7062468939750618E-5	-5.9230872777048835E-6	-2.982973747059757E-6	-3.088686275023119E-6	-3.945875130796894E-6	-3.067575869334277E-6
1123.3575149889489	-514.6017060745507	-172.29142594337463	-79.52813824798379	-40.50058322151502	-22.9062507328662	-14.549190905804817	-1.7016429847075754E-5	-5.959164645508451E-6	-2.9241024907916116E-6	-3.0987232753512624E-6	-3.848756875392541E-6	-2.964498030930143E-6
1124.2913524548317	-514.6263189725578	-172.34880342781543	-79.35882594436407	-40.51569635338254	-22.970927529714324	-14.42676593019412	-1.7017945252848437E-5	-5.9252365892530664E-6	-3.0044563982731785E-6	-3.048211211690609E-6	-3.817597092500559E-6	-2.899382646084469E-6
1125.2251938043166	-514.5226137408366	-172.26037424206734	-79.48110688797065	-40.48992292582989	-22.802675625140015	-14.475041261086098	-1.7027990810550655E-5	-5.9106711811909775E-6	-2.994620007940407E-6	-2.9996013681791474E-6	-3.748991312982973E-6	-3.056664981708796E-6
1126.159083678298	-514.558261067296	-172.35861575827002	-79.44354242405721	-40.525139013926186	-22.927741129289974	-14.715276462527422	-1.700517192397086E-5	-5.89830104047486E-6	-2.9496448996094377E-6	-3.0370726032928353E-6	-3.865190395508934E-6	-2.914348733554871E-6
1127.0929485958134	-514.5833884359648	-172.26089780256152	-79.43793406976121	-40.647724379267956	-22.890841909430243	-14.906292600700489	-1.70085737901195E-5	-5.921421985053413E-6	-2.981501334728252E-6	-3.0623664612637787E-6	-3.849796428053359E-6	-3.1605024190626695E-6
1128.0268210377003	-514.501530389612	-172.20394087135793	-79.3503837053265	-40.45184053563409	-22.79847324165431	-14.642467620854195	-1.7018529582528294E-5	-5.909053362012197E-6	-3.0139325216364273E-6	-3.075398197064318E-6	-3.7034195195698416E-6	-3.0103440909659253E-6
1128.960663996747	-514.5758051536977	-172.30278200805188	-79.4707975941045	-40.60895543297132	-22.819149926982142	-14.651146241678642	-1.70023024480154E-5	-5.925314382270239E-6	-2.9128910220834018E-6	-3.0584359117706523E-6	-3.728700150004504E-6	-2.9734439666037014E-6
1129.8945229050473	-514.5321741253138	-172.30708120688797	-79.3417212154184	-40.576569486823345	-22.945643076842483	-14.69453740119934	-1.7032632156481373E-5	-5.978746494304701E-6	-3.0110379905946133E-6	-3.0538741401916E-6	-3.8457906065990155E-6	-2.9742574870421205E-6
1130.8283329285925	-514.5669910286864	-172.21100516840815	-79.40550364341054	-40.54144278168678	-22.857296480373904	-14.563523765366812	-1.708398211035646E-5	-5.878204846549188E-6	-2.952703761244371E-6	-2.957469066543791E-6	-3.7412324029921046E-6	-2.9967434479951928E-6
1131.7621604114117	-514.5810242301474	-172.30996832028032	-79.38405171143157	-40.59868508825699	-22.838760866360232	-14.786562134440128	-1.7044234804760103E-5	-5.944471393733722E-6	-2.934896291172326E-6	-2.9673965481728798E-6	-3.907255699761483E-6	-3.0153547198744833E-6
1132.69601178437	-514.5262345212201	-172.23366262540222	-79.40970801774945	-40.490428265598084	-22.750532973219048	-14.79234102826852	-1.7025265912859732E-5	-5.919597874268792E-6	-2.9836043151287763E-6	-3.082185182818863E-6	-3.827111310980577E-6	-2.8974530579318786E-6
1133.6298367102734	-514.5055298966666	-172.3167933240533	-79.31771456769535	-40.627114114662014	-22.82689470052719	-14.458196927148562	-1.7066810186303506E-5	-5.963334409180059E-6	-2.958848643616705E-6	-3.0315180706216047E-6	-3.879716418458257E-6	-2.933104175057192E-6
1134.563683968127	-514.5250579603016	-172.26505779549478	-79.31320373607534	-40.48488366024362	-22.695640997453168	-14.739277079128302	-1.702103511347445E-5	-5.8853904802150996E-6	-2.9462189637851548E-6	-2.9900162714664437E-6	-3.858036585713791E-6	-3.0258657745768327E-6
1135.497500058352	-514.5553352578232	-172.25188371092082	-79.36049183351653	-40.65087815374136	-23.0249301337383	-14.67063041891043	-1.704041033264819E-5	-5.925452436384522E-6	-2.9382715790934877E-6	-3.094585397441101E-6	-3.876009709805078E-6	-2.96285743245833E-6
1136.431337132749	-514.5714015463988	-172.306299931556	-79.31455190799066	-40.598402593698765	-22.66155252131549	-14.738282039188421	-1.699459286257622E-5	-5.944694757330167E-6	-2.8999724007576396E-6	-3.0366603765541157E-6	-3.79348474224459E-6	-2.9115215803205866E-6
1137.3652064858065	-514.476428338016	-172.2924298234284	-79.34349365851709	-40.61419926169846	-22.81970182535323	-14.687990770317041	-1.7028223014483467E-5	-5.95748062916945E-6	-2.951181834544254E-6	-3.0312549899527962E-6	-3.7821662952581615E-6	-2.877873228584622E-6
1138.2990763960443	-514.4960349841664	-172.26546107083558	-79.49625366606882	-40.49757972111305	-22.749152611602437	-14.566486962712728	-1.703021915784391E-5	-5.9701255430554695E-6	-2.938469983548598E-6	-3.0015198217424208E-6	-3.873549964713874E-6	-2.825323713271074E-6
1139.2329298457469	-514.5199861948689	-172.2871993869543	-79.37864149361849	-40.43310646381643	-22.850029217248615	-14.42255000025034	-1.7052368082420946E-5	-5.951269651648908E-6	-2.969504173984847E-6	-3.049530240365874E-6	-3.853201920947321E-6	-2.8931465013367383E-6
1140.166751260812	-514.4524625819176	-172.27550136744975	-79.34540903036084	-40.39535891595814	-22.689171852713283	-14.74002399123632	-1.7041045072683868E-5	-5.8775774309289435E-6	-2.933269030529212E-6	-3.106232023284897E-6	-3.854528683872675E-6	-2.891104087779855E-6
1141.1005740858855	-514.5335056340942	-172.19875063151122	-79.39438135921955	-40.45490023410983	-22.783893654969607	-14.604998085934382	-1.7031005757900348E-5	-5.904157043996476E-6	-2.9094601693117493E-6	-3.0623868363029454E-6	-3.81714682596734E-6	-2.916402771702394E-6
1142.034421261606	-514.4645903402319	-172.21327481791377	-79.33141959139279	-40.5241741190354	-22.758347711779855	-14.26129548308941	-1.7054579993905513E-5	-5.9270073402064856E-6	-2.943516417648338E-6	-3.0112014023982332E-6	-3.916188433072227E-6	-2.8051534797852344E-6
1142.9682275535436	-514.4290327740213	-172.15313319787384	-79.28471163660288	-40.53291574700011	-22.839327791197732	-14.35698452591896	-1.700811251649712E-5	-5.906518695915423E-6	-2.959730588846036E-6	-3.0403856611438195E-6	-3.952247296389155E-6	-2.932953969495553E-6
1143.902052678881	-514.5222773409138	-172.2426498182118	-79.31383487050023	-40.57401260981957	-22.799054820429195	-14.46250485858092	-1.7039849988971484E-5	-5.918135107708543E-6	-2.9219401568917583E-6	-3.1465985392701895E-6	-3.823546408048155E-6	-2.9373855667696086E-6
1144.835918872775	-514.5049731681744	-172.19787074327468	-79.39320092328957	-40.54261311474774	-22.80659710819071	-14.68163290562538	-1.7027268669643443E-5	-5.88892378550814E-6	-2.9355727629725196E-6	-3.127540539989504E-6	-3.752198470278827E-6	-3.0269860135776248E-6
1145.769719397247	-514.4878463608524	-172.27092390060426	-79.36913455596992	-40.66077185918888	-22.901904089884326	-14.406726979865478	-1.7060328974654053E-5	-5.920322603188003E-6	-2.988446536257927E-6	-3.0418549115687158E-6	-3.917232936961749E-6	-2.9916709342477337E-6
1146.7035463135846	-514.3495421931148	-172.25620765089988	-79.25270531432969	-40.607856929302216	-22.710529854351822	-14.25012047875386	-1.7027176092283087E-5	-5.9349509521438E-6	-2.944138494077078E-6	-3.0110381102512715E-6	-3.871205248732578E-6	-2.763446163733021E-6
1147.6374018397935	-514.4306805537393	-172.24724070280791	-79.34812459456069	-40.445900551146934	-22.83252364193851	-14.6093318307629	-1.701878435652075E-5	-5.9084275586997876E-6	-2.973512761229771E-6	-3.0795097049323024E-6	-3.8101016098100493E-6	-2.957035910271954E-6
1148.5712081218358	-514.4935749694705	-172.227882925421	-79.3035043786679	-40.502798000143635	-22.810736675831404	-14.4477830477632	-1.70278376656152E-5	-5.914591975809502E-6	-2.939151974747545E-6	-3.1002426046051004E-6	-3.7997315233486188E-6	-2.974012467914087E-6
1149.5050615398277	-514.3677260056138	-172.2437950156629	-79.23679739130395	-40.5486377734277	-22.8986467319456	-14.282173190552454	-1.700674155691011E-5	-5.946539775102653E-6	-2.9894234973743976E-6	-3.0904176002813263E-6	-3.9173042800602105E-6	-2.9816655117865663E-6
