Time_(s)	Delta_F/n_n=1_(Hz)	Delta_D_n=1_()	Delta_F/n_n=3_(Hz)	Delta_D_n=3_()	Delta_F/n_n=5_(Hz)	Delta_D_n=5_()	Delta_F/n_n=7_(Hz)	Delta_D_n=7_()	Delta_F/n_n=9_(Hz)	Delta_D_n=9_()	Delta_F/n_n=11_(Hz)	Delta_D_n=11_()	Delta_F/n_n=13_(Hz)	Delta_D_n=13_()
152.28235899496318	818.5626391163096	-3.279592750266594E-4	497.1457248268028	-1.6644021257116454E-4	403.80432357788084	-1.3221987022232802E-4	355.51631111332347	-1.0969195282767141E-4	325.8066131621599	-9.794634442515993E-5	310.6945681348443	-8.790660626686255E-5	297.5631584043686	-8.634574967633017E-5
153.21616841876715	818.5779490517452	-3.279008811997341E-4	497.1153677403927	-1.664386021896313E-4	403.77576669082043	-1.3221957615156696E-4	355.5273239676441	-1.0970647540511218E-4	324.1418432576789	-9.804132891386169E-5	306.5679798322645	-8.80772715015259E-5	297.5631584043686	-8.634574967633017E-5
154.150110402944	813.2863926170394	-3.2794187156054693E-4	490.82306320344406	-1.6641397258153017E-4	398.3349937215447	-1.3212260459565138E-4	351.1844592786261	-1.095998111007108E-4	322.4102122162779	-9.787366035812284E-5	308.0759753009135	-8.786080910134058E-5	295.568039059639	-8.632768501359655E-5
155.08432747614611	817.1951857991517	-3.278834604858988E-4	495.89029395766556	-1.6640968308637835E-4	402.79379663169385	-1.3219750945765233E-4	354.7251475740756	-1.0969069048028645E-4	325.2207516208291	-9.794994911874498E-5	310.259058245881	-8.790787247364784E-5	297.23271805391863	-8.634358582648797E-5
156.01852208388104	818.2943637790158	-3.2798641236195106E-4	496.91698691310984	-1.664299435167779E-4	403.6246673561633	-1.3221107455951335E-4	355.37871044342006	-1.0969192090771223E-4	325.68957134336233	-9.794201490651403E-5	310.6022071303292	-8.789842894936913E-5	297.46853298178087	-8.634270527474023E-5
156.95244035125012	818.5019453605637	-3.279856733230519E-4	497.0434527558585	-1.664320551306153E-4	403.70903891846535	-1.322147924280572E-4	355.44389784548963	-1.0969361925494517E-4	325.72140946735936	-9.79430683657656E-5	310.61363399231976	-8.789841310821828E-5	297.4662796505369	-8.634352558440943E-5
157.8862419927148	818.4836957938969	-3.2798804331440727E-4	497.01152964060503	-1.6642904522275574E-4	403.67485818192364	-1.3221536035447904E-4	355.390918236758	-1.0969551079288641E-4	325.67054181959895	-9.794162252888253E-5	310.5568487034603	-8.78972374422196E-5	297.4008120338504	-8.634304929942593E-5
158.82003145838084	818.565677027218	-3.2792096108969003E-4	496.9505456481129	-1.6642662521190027E-4	403.6128696911037	-1.3221452960817526E-4	355.33150724215164	-1.0969676381739643E-4	325.610029540956	-9.793949476667458E-5	310.495482348583	-8.789623007826318E-5	297.3386973211399	-8.634282433050771E-5
159.7537876341371	818.4042769316584	-3.2796451356309714E-4	496.89473615897197	-1.6642683567455978E-4	403.5519675247371	-1.322135164993433E-4	355.2705732030528	-1.0969645868222697E-4	325.5484039013584	-9.793701870887358E-5	310.4274532320824	-8.789590849990741E-5	297.27463483810425	-8.634295866710845E-5
160.687631441238	818.5658072736114	-3.2783736774056986E-4	496.82650762113434	-1.6642289553629947E-4	403.4910102337599	-1.322129644861311E-4	355.2091252569641	-1.0969649316002531E-4	325.48341456303996	-9.793587997482725E-5	310.364566760307	-8.789466767078132E-5	297.2066658574801	-8.634150395060518E-5
161.62142943155993	818.5098994746804	-3.278819878325895E-4	496.7583934403956	-1.6642245922682348E-4	403.42404513657095	-1.3221217509791367E-4	355.1451957917639	-1.0969625649120494E-4	325.4289825633168	-9.793440230460859E-5	310.3144627423449	-8.78936187572264E-5	297.14979684926	-8.634141557889079E-5
162.55522769761265	818.4155692141503	-3.27917410440495E-4	496.7038332161804	-1.6641850066826655E-4	403.3699438109994	-1.3221126813951748E-4	355.0917242893151	-1.0969830571784978E-4	325.36123746716316	-9.793353759023983E-5	310.2456781105562	-8.789279935304695E-5	297.0862285781365	-8.633972546460744E-5
163.48900418758575	818.347611438483	-3.279481481237811E-4	496.6440712859233	-1.664154636518994E-4	403.309693312645	-1.322109664913127E-4	355.0012303090521	-1.0969843677885366E-4	325.36123746716316	-9.793353759023983E-5	310.1761401776563	-8.78935419614568E-5	297.0193423393827	-8.633774056752465E-5
